,CustomerID,Recency,Frequency,Monetary,R-Score,F-Score,M-Score,RFMScore,LoyaltyLevel,Cluster_ID
648,13730,135,43,753,3,2,2,7,Gold,1
649,13731,218,38,611,4,2,2,8,Silver,0
650,13732,27,33,492,2,3,3,8,Silver,1
652,13736,4,191,732,1,1,2,4,Platinum,1
653,13737,199,30,340,4,3,3,10,Bronze,0
654,13739,17,3,217,1,4,4,9,Silver,0
655,13740,240,23,351,4,3,3,10,Bronze,0
656,13741,71,34,668,3,2,2,7,Gold,1
658,13743,2,41,1342,1,2,1,4,Platinum,1
659,13744,94,72,1156,3,1,1,5,Platinum,1
660,13745,161,25,300,4,3,3,10,Bronze,0
662,13748,95,28,948,3,3,2,8,Silver,1
663,13750,53,24,1647,2,3,1,6,Gold,1
664,13751,287,9,296,4,4,3,11,Bronze,0
665,13752,123,76,1186,3,1,1,5,Platinum,1
666,13753,287,35,741,4,2,2,8,Silver,0
667,13754,151,12,283,4,4,3,11,Bronze,0
671,13759,32,25,659,2,3,2,7,Gold,1
672,13760,53,57,287,2,2,3,7,Gold,0
673,13761,49,70,1071,2,1,1,4,Platinum,1
674,13762,218,7,307,4,4,3,11,Bronze,0
675,13763,62,15,1715,3,4,1,8,Silver,1
676,13764,70,208,1522,3,1,1,5,Platinum,1
679,13771,63,119,2634,3,1,1,5,Platinum,1
680,13772,33,177,1132,2,1,1,4,Platinum,1
681,13774,81,22,345,3,3,3,9,Silver,0
683,13778,102,9,179,3,4,4,11,Bronze,0
684,13780,6,57,360,1,2,3,6,Gold,1
685,13781,250,17,128,4,3,4,11,Bronze,0
686,13782,12,115,912,1,1,2,4,Platinum,1
687,13784,9,31,2463,1,3,1,5,Platinum,1
689,13787,75,31,309,3,3,3,9,Silver,0
690,13790,3,45,349,1,2,3,6,Gold,1
691,13791,127,11,1516,3,4,1,8,Silver,0
692,13792,65,13,196,3,4,4,11,Bronze,0
694,13799,116,39,689,3,2,2,7,Gold,0
695,13800,309,33,558,4,3,2,9,Silver,0
696,13801,66,23,325,3,3,3,9,Silver,0
698,13803,254,17,277,4,3,3,10,Bronze,0
699,13804,30,137,2636,2,1,1,4,Platinum,1
700,13805,51,13,925,2,4,2,8,Silver,0
701,13806,63,10,256,3,4,4,11,Bronze,0
703,13808,5,76,1748,1,1,1,3,Platinum,1
704,13819,301,36,1140,4,2,1,7,Gold,0
705,13821,144,59,386,3,2,3,8,Silver,0
706,13822,5,96,632,1,1,2,4,Platinum,1
707,13823,18,40,958,1,2,2,5,Platinum,1
708,13824,32,46,1699,2,2,1,5,Platinum,1
709,13826,175,10,190,4,4,4,12,Bronze,0
710,13827,57,93,412,2,1,3,6,Gold,1
711,13828,21,15,209,1,4,4,9,Silver,0
712,13831,15,74,2203,1,1,1,3,Platinum,1
713,13832,18,3,52,1,4,4,9,Silver,0
714,13833,158,29,385,4,3,3,10,Bronze,0
715,13835,24,55,835,2,2,2,6,Gold,1
716,13837,211,19,271,4,3,3,10,Bronze,0
717,13838,5,174,692,1,1,2,4,Platinum,1
718,13841,252,1,85,4,4,4,12,Bronze,0
720,13844,10,20,362,1,3,3,7,Gold,0
721,13845,64,9,313,3,4,3,10,Bronze,0
722,13846,24,55,865,2,2,2,6,Gold,1
723,13848,91,5,1255,3,4,1,8,Silver,0
724,13849,51,101,1538,2,1,1,4,Platinum,1
725,13850,128,93,1595,3,1,1,5,Platinum,1
726,13851,95,81,2651,3,1,1,5,Platinum,1
727,13853,56,23,1090,2,3,1,6,Gold,1
729,13856,168,14,388,4,4,3,11,Bronze,0
730,13858,56,11,216,2,4,4,10,Bronze,0
731,13859,325,28,201,4,3,4,11,Bronze,0
732,13860,0,76,1246,1,1,1,3,Platinum,1
733,13862,17,139,2209,1,1,1,3,Platinum,1
734,13863,247,20,306,4,3,3,10,Bronze,0
735,13865,57,30,502,2,3,3,8,Silver,0
736,13866,73,7,146,3,4,4,11,Bronze,0
737,13867,30,61,1015,2,2,2,6,Gold,1
740,13870,1,115,2771,1,1,1,3,Platinum,1
742,13873,119,23,390,3,3,3,9,Silver,0
744,13875,53,104,1787,2,1,1,4,Platinum,1
745,13876,63,7,123,3,4,4,11,Bronze,0
746,13877,85,3,117,3,4,4,11,Bronze,0
747,13878,54,36,1282,2,2,1,5,Platinum,1
750,13882,2,65,1191,1,2,1,4,Platinum,1
751,13883,10,142,2674,1,1,1,3,Platinum,1
752,13884,6,59,788,1,2,2,5,Platinum,1
753,13885,188,28,507,4,3,3,10,Bronze,0
754,13886,70,16,244,3,3,4,10,Bronze,0
755,13887,203,19,350,4,3,3,10,Bronze,0
756,13888,119,40,606,3,2,2,7,Gold,0
757,13889,92,15,417,3,4,3,10,Bronze,0
758,13890,0,110,1884,1,1,1,3,Platinum,1
759,13892,26,27,633,2,3,2,7,Gold,1
760,13893,297,21,821,4,3,2,9,Silver,0
761,13894,23,27,565,2,3,2,7,Gold,1
762,13895,27,118,2593,2,1,1,4,Platinum,1
763,13897,49,17,311,2,3,3,8,Silver,0
764,13898,325,12,156,4,4,4,12,Bronze,0
765,13899,15,19,389,1,3,3,7,Gold,0
766,13900,182,43,741,4,2,2,8,Silver,0
768,13904,36,26,333,2,3,3,8,Silver,0
769,13908,79,122,2370,3,1,1,5,Platinum,1
770,13911,56,148,2581,2,1,1,4,Platinum,1
771,13914,11,33,626,1,3,2,6,Gold,1
772,13917,49,18,272,2,3,3,8,Silver,0
773,13918,49,30,1213,2,3,1,6,Gold,1
775,13923,53,20,351,2,3,3,8,Silver,0
776,13924,1,117,1839,1,1,1,3,Platinum,1
777,13925,92,41,678,3,2,2,7,Gold,1
778,13926,22,11,224,1,4,4,9,Silver,0
779,13927,74,21,349,3,3,3,9,Silver,0
780,13928,10,27,465,1,3,3,7,Gold,1
781,13929,168,9,843,4,4,2,10,Bronze,0
782,13930,57,17,337,2,3,3,8,Silver,0
783,13931,95,58,1238,3,2,1,6,Gold,1
784,13932,294,16,307,4,3,3,10,Bronze,0
785,13933,108,23,609,3,3,2,8,Silver,0
786,13934,263,31,922,4,3,2,9,Silver,0
787,13936,179,26,377,4,3,3,10,Bronze,0
788,13937,168,9,159,4,4,4,12,Bronze,0
789,13938,34,7,72,2,4,4,10,Bronze,0
790,13939,22,45,569,1,2,2,5,Platinum,1
791,13940,16,49,839,1,2,2,5,Platinum,1
793,13946,78,11,562,3,4,2,9,Silver,0
794,13947,64,5,91,3,4,4,11,Bronze,0
796,13949,2,160,2427,1,1,1,3,Platinum,1
797,13950,10,35,745,1,2,2,5,Platinum,1
798,13951,175,39,674,4,2,2,8,Silver,0
801,13954,0,25,440,1,3,3,7,Gold,1
802,13955,153,33,323,4,3,3,10,Bronze,0
803,13956,4,152,1026,1,1,2,4,Platinum,1
804,13959,78,92,598,3,1,2,6,Gold,1
805,13960,20,12,230,1,4,4,9,Silver,0
806,13962,21,11,170,1,4,4,9,Silver,0
807,13963,307,35,665,4,2,2,8,Silver,0
808,13967,145,2,81,3,4,4,11,Bronze,0
810,13971,18,149,2758,1,1,1,3,Platinum,1
811,13972,70,15,190,3,4,4,11,Bronze,0
812,13973,286,11,265,4,4,4,12,Bronze,0
813,13974,48,28,414,2,3,3,8,Silver,0
815,13976,206,10,358,4,4,3,11,Bronze,0
816,13978,14,15,197,1,4,4,9,Silver,0
817,13979,72,54,870,3,2,2,7,Gold,1
818,13980,59,11,200,3,4,4,11,Bronze,0
819,13982,38,111,1872,2,1,1,4,Platinum,1
820,13983,29,107,2603,2,1,1,4,Platinum,1
821,13984,26,16,921,2,3,2,7,Gold,1
823,13986,16,13,320,1,4,3,8,Silver,0
825,13989,65,41,1266,3,2,1,6,Gold,1
826,13990,212,16,311,4,3,3,10,Bronze,0
827,13991,11,84,856,1,1,2,4,Platinum,1
828,13992,29,5,77,2,4,4,10,Bronze,0
830,13994,3,155,2313,1,1,1,3,Platinum,1
831,13995,14,86,1394,1,1,1,3,Platinum,1
833,14000,210,15,636,4,4,2,10,Bronze,0
834,14001,45,39,2043,2,2,1,5,Platinum,1
835,14002,133,47,530,3,2,3,8,Silver,0
838,14006,115,30,962,3,3,2,8,Silver,1
839,14009,197,42,696,4,2,2,8,Silver,0
840,14012,277,11,329,4,4,3,11,Bronze,0
841,14013,109,34,473,3,2,3,8,Silver,0
842,14014,76,39,505,3,2,3,8,Silver,0
843,14015,52,20,917,2,3,2,7,Gold,1
844,14019,46,66,1422,2,2,1,5,Platinum,1
845,14020,16,39,643,1,2,2,5,Platinum,1
846,14021,154,22,632,4,3,2,9,Silver,0
847,14022,224,28,440,4,3,3,10,Bronze,0
848,14023,6,31,584,1,3,2,6,Gold,1
849,14024,121,16,328,3,3,3,9,Silver,0
850,14027,60,6,105,3,4,4,11,Bronze,0
851,14029,62,15,468,3,4,3,10,Bronze,0
855,14034,21,89,652,1,1,2,4,Platinum,1
856,14035,28,66,1428,2,2,1,5,Platinum,1
857,14036,284,38,627,4,2,2,8,Silver,0
858,14037,175,28,147,4,3,4,11,Bronze,0
859,14038,77,92,1560,3,1,1,5,Platinum,1
860,14039,32,6,152,2,4,4,10,Bronze,0
862,14041,265,21,141,4,3,4,11,Bronze,0
863,14044,26,209,653,2,1,2,5,Platinum,1
864,14045,108,6,1660,3,4,1,8,Silver,0
865,14046,283,14,155,4,4,4,12,Bronze,0
866,14047,8,32,1309,1,3,1,5,Platinum,1
867,14048,304,85,410,4,1,3,8,Silver,0
869,14050,31,54,746,2,2,2,6,Gold,1
871,14052,19,56,225,1,2,4,7,Gold,1
872,14053,123,4,260,3,4,4,11,Bronze,0
873,14054,64,6,92,3,4,4,11,Bronze,0
874,14055,105,10,726,3,4,2,9,Silver,0
877,14059,266,8,184,4,4,4,12,Bronze,0
880,14064,28,80,1354,2,1,1,4,Platinum,1
881,14066,266,7,153,4,4,4,12,Bronze,0
882,14067,63,52,375,3,2,3,8,Silver,0
883,14068,319,24,266,4,3,4,11,Bronze,0
885,14073,31,13,151,2,4,4,10,Bronze,0
886,14075,4,43,942,1,2,2,5,Platinum,1
887,14076,128,46,122,3,2,4,9,Silver,0
888,14077,40,42,499,2,2,3,7,Gold,1
889,14078,101,65,1049,3,2,1,6,Gold,1
890,14079,124,12,375,3,4,3,10,Bronze,0
891,14080,32,4,46,2,4,4,10,Bronze,0
892,14081,301,153,935,4,1,2,7,Gold,1
894,14083,3,181,1018,1,1,2,4,Platinum,1
896,14087,2,69,194,1,2,4,7,Gold,1
898,14089,56,14,161,2,4,4,10,Bronze,0
899,14090,324,1,76,4,4,4,12,Bronze,0
901,14093,11,105,443,1,1,3,5,Platinum,1
903,14098,36,21,147,2,3,4,9,Silver,0
905,14100,137,26,195,3,3,4,10,Bronze,0
907,14102,4,79,1360,1,1,1,3,Platinum,1
908,14104,153,21,216,4,3,4,11,Bronze,0
909,14105,238,74,1266,4,1,1,6,Gold,1
910,14107,51,123,2703,2,1,1,4,Platinum,1
911,14108,30,34,598,2,2,2,6,Gold,1
912,14109,72,9,144,3,4,4,11,Bronze,0
914,14111,13,10,693,1,4,2,7,Gold,1
916,14113,3,34,1840,1,2,1,4,Platinum,1
917,14114,273,15,387,4,4,3,11,Bronze,0
918,14116,19,72,1383,1,1,1,3,Platinum,1
919,14117,143,3,90,3,4,4,11,Bronze,0
920,14121,3,159,2780,1,1,1,3,Platinum,1
921,14124,83,5,420,3,4,3,10,Bronze,0
922,14125,10,167,2740,1,1,1,3,Platinum,1
923,14126,7,15,706,1,4,2,7,Gold,1
924,14127,122,44,710,3,2,2,7,Gold,1
925,14128,60,46,638,3,2,2,7,Gold,1
926,14129,1,52,1124,1,2,1,4,Platinum,1
927,14130,318,67,484,4,2,3,9,Silver,0
929,14133,129,28,606,3,3,2,8,Silver,0
931,14138,1,47,982,1,2,2,5,Platinum,1
932,14139,45,26,416,2,3,3,8,Silver,0
933,14140,3,66,935,1,2,2,5,Platinum,1
934,14141,2,40,915,1,2,2,5,Platinum,1
936,14143,133,7,116,3,4,4,11,Bronze,0
939,14147,77,5,483,3,4,3,10,Bronze,0
940,14148,233,3,157,4,4,4,12,Bronze,0
941,14149,220,28,447,4,3,3,10,Bronze,0
942,14150,35,26,659,2,3,2,7,Gold,1
943,14152,74,49,621,3,2,2,7,Gold,1
944,14154,238,52,1346,4,2,1,7,Gold,1
945,14155,265,6,119,4,4,4,12,Bronze,0
946,14157,19,48,433,1,2,3,6,Gold,1
947,14158,39,41,508,2,2,3,7,Gold,1
949,14161,215,108,1111,4,1,1,6,Gold,1
950,14162,173,25,289,4,3,3,10,Bronze,0
951,14163,86,52,2446,3,2,1,6,Gold,1
952,14164,70,29,1632,3,3,1,7,Gold,1
953,14165,275,25,123,4,3,4,11,Bronze,0
954,14167,38,52,575,2,2,2,6,Gold,1
955,14171,97,58,364,3,2,3,8,Silver,0
956,14173,10,29,451,1,3,3,7,Gold,1
957,14174,32,26,134,2,3,4,9,Silver,0
959,14176,296,31,577,4,3,2,9,Silver,0
960,14177,85,42,559,3,2,2,7,Gold,0
962,14179,40,165,720,2,1,2,5,Platinum,1
964,14184,66,24,453,3,3,3,9,Silver,0
966,14188,30,65,2054,2,2,1,5,Platinum,1
969,14193,67,42,853,3,2,2,7,Gold,1
971,14195,201,7,1012,4,4,2,10,Bronze,0
972,14196,106,6,336,3,4,3,10,Bronze,0
973,14198,17,39,701,1,2,2,5,Platinum,1
974,14199,217,2,185,4,4,4,12,Bronze,0
975,14201,59,37,747,3,2,2,7,Gold,1
976,14204,1,44,161,1,2,4,7,Gold,1
977,14205,16,24,467,1,3,3,7,Gold,1
978,14206,238,20,328,4,3,3,10,Bronze,0
979,14208,94,10,152,3,4,4,11,Bronze,0
980,14209,10,87,2073,1,1,1,3,Platinum,1
981,14210,105,102,1906,3,1,1,5,Platinum,1
982,14211,52,112,2241,2,1,1,4,Platinum,1
983,14212,89,9,1070,3,4,1,8,Silver,0
984,14214,30,67,1004,2,2,2,6,Gold,1
985,14215,11,108,1790,1,1,1,3,Platinum,1
986,14216,2,59,1839,1,2,1,4,Platinum,1
987,14217,1,100,2005,1,1,1,3,Platinum,1
988,14218,42,12,169,2,4,4,10,Bronze,0
989,14219,3,7,90,1,4,4,9,Silver,0
990,14220,246,21,632,4,3,2,9,Silver,0
992,14222,176,41,683,4,2,2,8,Silver,0
993,14223,91,60,991,3,2,2,7,Gold,1
994,14224,109,118,1050,3,1,1,5,Platinum,1
995,14226,28,67,2232,2,2,1,5,Platinum,1
997,14229,51,40,1547,2,2,1,5,Platinum,1
998,14231,183,50,926,4,2,2,8,Silver,1
999,14232,42,115,2048,2,1,1,4,Platinum,1
1000,14233,48,35,1463,2,2,1,5,Platinum,1
1001,14234,21,159,775,1,1,2,4,Platinum,1
1003,14236,80,15,491,3,4,3,10,Bronze,0
1005,14238,325,8,147,4,4,4,12,Bronze,0
1006,14239,42,112,2381,2,1,1,4,Platinum,1
1007,14240,29,42,890,2,2,2,6,Gold,1
1008,14241,183,10,214,4,4,4,12,Bronze,0
1009,14242,234,16,281,4,3,3,10,Bronze,0
1010,14243,8,141,2589,1,1,1,3,Platinum,1
1011,14245,219,108,1693,4,1,1,6,Gold,1
1012,14246,110,75,1474,3,1,1,5,Platinum,1
1013,14247,277,20,137,4,3,4,11,Bronze,0
1014,14248,317,8,303,4,4,3,11,Bronze,0
1015,14250,6,111,1904,1,1,1,3,Platinum,1
1017,14256,259,53,969,4,2,2,8,Silver,1
1020,14259,141,5,120,3,4,4,11,Bronze,0
1021,14261,50,52,1163,2,2,1,5,Platinum,1
1022,14262,7,143,2618,1,1,1,3,Platinum,1
1023,14264,154,17,334,4,3,3,10,Bronze,0
1024,14267,162,55,1516,4,2,1,7,Gold,1
1026,14271,225,10,112,4,4,4,12,Bronze,0
1027,14272,73,33,438,3,3,3,9,Silver,0
1028,14273,50,29,560,2,3,2,7,Gold,0
1029,14276,98,64,1120,3,2,1,6,Gold,1
1030,14280,196,8,134,4,4,4,12,Bronze,0
1032,14284,30,32,595,2,3,2,7,Gold,1
1033,14285,20,27,1910,1,3,1,5,Platinum,1
1035,14287,7,9,177,1,4,4,9,Silver,0
1036,14288,212,16,427,4,3,3,10,Bronze,0
1037,14289,8,47,911,1,2,2,5,Platinum,1
1038,14290,10,101,2315,1,1,1,3,Platinum,1
1041,14293,2,61,1047,1,2,1,4,Platinum,1
1042,14295,39,5,166,2,4,4,10,Bronze,0
1043,14297,17,62,1305,1,2,1,4,Platinum,1
1046,14300,18,3,43,1,4,4,9,Silver,0
1047,14301,116,13,640,3,4,2,9,Silver,0
1048,14304,222,17,383,4,3,3,10,Bronze,0
1049,14305,70,105,1859,3,1,1,5,Platinum,1
1050,14306,50,33,2093,2,3,1,6,Gold,1
1052,14309,7,117,2353,1,1,1,3,Platinum,1
1053,14311,242,20,310,4,3,3,10,Bronze,0
1054,14312,46,87,1612,2,1,1,4,Platinum,1
1055,14314,106,8,120,3,4,4,11,Bronze,0
1056,14315,44,101,2481,2,1,1,4,Platinum,1
1057,14317,64,24,509,3,3,3,9,Silver,0
1058,14320,206,31,478,4,3,3,10,Bronze,0
1059,14321,10,123,1531,1,1,1,3,Platinum,1
1060,14323,114,36,605,3,2,2,7,Gold,0
1061,14326,241,8,184,4,4,4,12,Bronze,0
1062,14327,162,12,312,4,4,3,11,Bronze,0
1064,14331,123,28,463,3,3,3,9,Silver,0
1065,14332,22,26,866,1,3,2,6,Gold,1
1066,14333,67,15,415,3,4,3,10,Bronze,0
1067,14334,16,162,2552,1,1,1,3,Platinum,1
1068,14336,16,90,1615,1,1,1,3,Platinum,1
1069,14338,160,31,588,4,3,2,9,Silver,0
1070,14339,242,14,310,4,4,3,11,Bronze,0
1071,14340,218,6,135,4,4,4,12,Bronze,0
1072,14341,44,129,2182,2,1,1,4,Platinum,1
1073,14342,20,21,669,1,3,2,6,Gold,1
1074,14344,126,71,890,3,1,2,6,Gold,1
1075,14345,38,6,109,2,4,4,10,Bronze,0
1076,14346,120,60,1022,3,2,2,7,Gold,1
1077,14348,259,18,410,4,3,3,10,Bronze,0
1078,14349,9,31,134,1,3,4,8,Silver,0
1079,14350,273,18,283,4,3,3,10,Bronze,0
1080,14351,164,1,51,4,4,4,12,Bronze,0
1081,14352,156,47,1079,4,2,1,7,Gold,1
1082,14353,214,6,91,4,4,4,12,Bronze,0
1083,14354,5,9,164,1,4,4,9,Silver,0
1085,14356,79,33,701,3,3,2,8,Silver,1
1086,14357,42,41,226,2,2,4,8,Silver,0
1087,14359,18,55,912,1,2,2,5,Platinum,1
1088,14360,31,118,2128,2,1,1,4,Platinum,1
1089,14362,21,41,161,1,2,4,7,Gold,0
1092,14368,319,8,155,4,4,4,12,Bronze,0
1093,14371,294,4,100,4,4,4,12,Bronze,0
1095,14375,184,75,258,4,1,4,9,Silver,0
1096,14377,190,11,617,4,4,2,10,Bronze,0
1097,14379,43,46,348,2,2,3,7,Gold,1
1098,14381,51,56,203,2,2,4,8,Silver,0
1099,14382,25,131,626,2,1,2,5,Platinum,1
1100,14383,37,59,1248,2,2,1,5,Platinum,1
1101,14385,8,14,202,1,4,4,9,Silver,0
1102,14386,296,7,142,4,4,4,12,Bronze,0
1103,14387,32,140,1771,2,1,1,4,Platinum,1
1105,14389,64,45,1043,3,2,2,7,Gold,1
1107,14393,217,5,68,4,4,4,12,Bronze,0
1109,14396,64,73,488,3,1,3,7,Gold,1
1110,14397,2,87,2613,1,1,1,3,Platinum,1
1111,14400,148,25,575,3,3,2,8,Silver,0
1113,14403,129,20,1476,3,3,1,7,Gold,1
1114,14404,33,103,1474,2,1,1,4,Platinum,1
1115,14406,118,8,157,3,4,4,11,Bronze,0
1116,14407,106,73,2158,3,1,1,5,Platinum,1
1117,14408,10,107,2607,1,1,1,3,Platinum,1
1118,14409,70,54,2059,3,2,1,6,Gold,1
1119,14410,91,193,1105,3,1,1,5,Platinum,1
1120,14411,310,14,1063,4,4,1,9,Silver,0
1121,14412,42,43,770,2,2,2,6,Gold,1
1123,14414,91,97,1497,3,1,1,5,Platinum,1
1125,14416,21,14,490,1,4,3,8,Silver,0
1126,14418,3,124,1937,1,1,1,3,Platinum,1
1127,14419,10,206,1058,1,1,1,3,Platinum,1
1128,14420,98,29,388,3,3,3,9,Silver,0
1129,14421,56,27,813,2,3,2,7,Gold,1
1131,14423,217,3,265,4,4,4,12,Bronze,0
1132,14424,17,1,322,1,4,3,8,Silver,0
1134,14427,49,17,363,2,3,3,8,Silver,0
1135,14428,6,144,1245,1,1,1,3,Platinum,1
1136,14431,302,17,470,4,3,3,10,Bronze,0
1138,14434,21,12,1373,1,4,1,6,Gold,1
1139,14436,98,9,89,3,4,4,11,Bronze,0
1141,14438,305,9,132,4,4,4,12,Bronze,0
1142,14440,7,55,2358,1,2,1,4,Platinum,1
1143,14441,0,51,1713,1,2,1,4,Platinum,1
1144,14443,53,93,1420,2,1,1,4,Platinum,1
1146,14447,18,70,1163,1,1,1,3,Platinum,1
1147,14448,8,20,375,1,3,3,7,Gold,1
1149,14450,180,40,483,4,2,3,9,Silver,0
1150,14451,59,109,663,3,1,2,6,Gold,1
1151,14452,10,62,264,1,2,4,7,Gold,1
1152,14453,189,22,120,4,3,4,11,Bronze,0
1154,14457,310,4,114,4,4,4,12,Bronze,0
1155,14459,154,37,1838,4,2,1,7,Gold,1
1156,14460,109,16,434,3,3,3,9,Silver,0
1157,14461,147,180,2103,3,1,1,5,Platinum,1
1159,14463,97,6,530,3,4,3,10,Bronze,0
1160,14465,246,130,1059,4,1,1,6,Gold,1
1161,14466,28,72,2272,2,1,1,4,Platinum,1
1162,14467,17,90,599,1,1,2,4,Platinum,1
1163,14470,11,43,461,1,2,3,6,Gold,1
1165,14473,73,7,234,3,4,4,11,Bronze,0
1166,14474,45,29,548,2,3,2,7,Gold,1
1167,14475,71,42,926,3,2,2,7,Gold,1
1168,14476,256,19,216,4,3,4,11,Bronze,0
1169,14477,19,10,1310,1,4,1,6,Gold,1
1170,14479,253,18,316,4,3,3,10,Bronze,0
1171,14480,10,13,279,1,4,3,8,Silver,0
1172,14481,164,30,637,4,3,2,9,Silver,0
1173,14482,17,144,2068,1,1,1,3,Platinum,1
1174,14483,281,9,137,4,4,4,12,Bronze,0
1175,14484,49,14,322,2,4,3,9,Silver,0
1176,14485,38,47,166,2,2,4,8,Silver,0
1177,14487,26,144,1196,2,1,1,4,Platinum,1
1178,14488,67,46,1064,3,2,1,6,Gold,1
1179,14489,206,30,463,4,3,3,10,Bronze,0
1180,14491,174,17,341,4,3,3,10,Bronze,0
1181,14493,6,120,2383,1,1,1,3,Platinum,1
1182,14494,25,7,140,2,4,4,10,Bronze,0
1183,14495,50,6,124,2,4,4,10,Bronze,0
1184,14496,311,19,539,4,3,2,9,Silver,0
1185,14497,308,29,475,4,3,3,10,Bronze,0
1186,14498,42,193,1957,2,1,1,4,Platinum,1
1187,14499,25,194,815,2,1,2,5,Platinum,1
1188,14500,87,7,357,3,4,3,10,Bronze,0
1189,14501,183,10,251,4,4,4,12,Bronze,0
1192,14504,46,107,673,2,1,2,5,Platinum,1
1195,14507,23,96,1383,2,1,1,4,Platinum,1
1196,14508,21,57,276,1,2,3,6,Gold,1
1197,14511,10,68,1315,1,2,1,4,Platinum,1
1198,14512,187,23,275,4,3,3,10,Bronze,0
1199,14513,100,12,456,3,4,3,10,Bronze,0
1200,14514,60,73,1055,3,1,1,5,Platinum,1
1201,14515,17,101,2102,1,1,1,3,Platinum,1
1202,14517,32,18,330,2,3,3,8,Silver,0
1203,14518,63,16,174,3,3,4,10,Bronze,0
1204,14520,1,4,271,1,4,3,8,Silver,0
1205,14522,23,17,975,2,3,2,7,Gold,1
1206,14523,107,12,241,3,4,4,11,Bronze,0
1207,14524,31,203,1868,2,1,1,4,Platinum,1
1210,14528,36,18,364,2,3,3,8,Silver,0
1213,14532,235,64,933,4,2,2,8,Silver,1
1214,14533,24,62,1950,2,2,1,5,Platinum,1
1217,14536,259,19,172,4,3,4,11,Bronze,0
1218,14537,57,10,356,2,4,3,9,Silver,0
1219,14538,64,19,388,3,3,3,9,Silver,0
1220,14539,15,32,537,1,3,2,6,Gold,1
1221,14540,9,76,996,1,1,2,4,Platinum,1
1222,14541,58,111,1462,2,1,1,4,Platinum,1
1223,14542,185,5,103,4,4,4,12,Bronze,0
1225,14544,23,114,2024,2,1,1,4,Platinum,1
1228,14548,150,4,653,4,4,2,10,Bronze,0
1229,14549,310,56,289,4,2,3,9,Silver,0
1230,14550,10,48,766,1,2,2,5,Platinum,1
1231,14551,17,10,186,1,4,4,9,Silver,0
1232,14552,151,58,165,4,2,4,10,Bronze,0
1233,14553,18,113,859,1,1,2,4,Platinum,1
1234,14554,9,216,2381,1,1,1,3,Platinum,1
1235,14555,56,21,324,2,3,3,8,Silver,0
1236,14557,84,16,788,3,3,2,8,Silver,0
1237,14560,6,74,2238,1,1,1,3,Platinum,1
1238,14561,75,69,1081,3,2,1,6,Gold,1
1241,14567,56,33,1530,2,3,1,6,Gold,1
1242,14569,0,12,227,1,4,4,9,Silver,0
1243,14570,280,29,218,4,3,4,11,Bronze,0
1247,14577,12,123,860,1,1,2,4,Platinum,1
1248,14578,2,24,169,1,3,4,8,Silver,0
1249,14581,16,17,139,1,3,4,8,Silver,0
1250,14582,40,6,114,2,4,4,10,Bronze,0
1252,14584,168,100,1042,4,1,2,7,Gold,1
1253,14585,49,29,157,2,3,4,9,Silver,0
1254,14586,276,19,237,4,3,4,11,Bronze,0
1257,14591,14,197,1447,1,1,1,3,Platinum,1
1258,14592,34,164,570,2,1,2,5,Platinum,1
1259,14593,21,152,618,1,1,2,4,Platinum,1
1260,14594,6,53,380,1,2,3,6,Gold,1
1261,14595,19,102,1741,1,1,1,3,Platinum,1
1262,14597,10,55,883,1,2,2,5,Platinum,1
1263,14598,43,50,222,2,2,4,8,Silver,0
1264,14600,305,25,393,4,3,3,10,Bronze,0
1265,14601,10,7,214,1,4,4,9,Silver,0
1266,14603,274,2,660,4,4,2,10,Bronze,0
1269,14608,3,20,1785,1,3,1,5,Platinum,1
1270,14609,71,4,602,3,4,2,9,Silver,0
1271,14616,242,3,406,4,4,3,11,Bronze,0
1272,14618,8,16,553,1,3,2,6,Gold,1
1273,14619,245,20,394,4,3,3,10,Bronze,0
1274,14620,205,26,413,4,3,3,10,Bronze,0
1275,14621,0,92,1788,1,1,1,3,Platinum,1
1276,14622,184,21,321,4,3,3,10,Bronze,0
1277,14623,31,134,889,2,1,2,5,Platinum,1
1278,14624,56,13,226,2,4,4,10,Bronze,0
1279,14625,195,53,900,4,2,2,8,Silver,1
1281,14628,90,24,672,3,3,2,8,Silver,0
1282,14629,3,152,959,1,1,2,4,Platinum,1
1283,14631,50,41,1007,2,2,2,6,Gold,1
1284,14632,262,8,115,4,4,4,12,Bronze,0
1285,14633,265,20,345,4,3,3,10,Bronze,0
1286,14636,35,28,610,2,3,2,7,Gold,1
1287,14638,50,16,444,2,3,3,8,Silver,0
1289,14640,23,106,2125,2,1,1,4,Platinum,1
1290,14641,21,7,110,1,4,4,9,Silver,0
1291,14642,58,2,96,2,4,4,10,Bronze,0
1292,14643,169,31,694,4,3,2,9,Silver,0
1293,14644,67,26,831,3,3,2,8,Silver,1
1294,14645,156,30,597,4,3,2,9,Silver,0
1295,14647,200,30,243,4,3,4,11,Bronze,0
1296,14649,4,199,1417,1,1,1,3,Platinum,1
1297,14651,66,102,655,3,1,2,6,Gold,1
1298,14652,76,29,114,3,3,4,10,Bronze,0
1300,14655,7,49,1932,1,2,1,4,Platinum,1
1301,14656,168,80,291,4,1,3,8,Silver,0
1302,14657,17,126,848,1,1,2,4,Platinum,1
1303,14658,4,29,247,1,3,4,8,Silver,1
1305,14660,86,30,286,3,3,3,9,Silver,0
1306,14661,26,4,108,2,4,4,10,Bronze,0
